response,itemNo,constructionType,gapType,subjectNo
6,1,question,control,1
1,3,question,gap,1
7,4,declarative,control,1
1,2,question,RP,1
2,5,declarative,RP,1
1,4,question,gap,2
1,2,question,control,2
1,3,question,RP,2
1,1,declarative,gap,2
7,5,declarative,control,2
1,5,question,gap,3
1,2,declarative,gap,3
1,3,question,control,3
1,1,declarative,RP,3
1,4,question,RP,3
2,2,delcarative,RP,4
1,5,question,RP,4
6,1,declarative,control,4
7,4,question,control,4
1,3,declarative,gap,4
7,2,delcarative,control,5
7,5,question,control,5
4,3,declarative,RP,5
2,1,question,gap,5
3,4,declarative,gap,5
3,2,question,gap,6
3,3,declarative,control,6
3,1,question,RP,6
3,4,declarative,RP,6
2,5,declarative,gap,6
2,2,question,RP,7
5,1,question,control,7
2,3,question,gap,7
6,4,declarative,control,7
5,5,declarative,RP,7
5,4,declarative,control,8
1,1,question,control,8
1,5,declarative,RP,8
1,2,question,RP,8
1,3,question,gap,8
4,5,question,gap,9
3,1,declarative,RP,9
5,4,question,RP,9
4,2,declarative,gap,9
6,3,question,control,9
5,5,question,RP,10
6,1,declarative,control,10
6,2,delcarative,RP,10
1,3,declarative,gap,10
7,4,question,control,10
2,5,question,RP,11
4,4,question,control,11
3,3,declarative,gap,11
1,2,delcarative,RP,11
5,1,declarative,control,11
4,3,declarative,control,12
1,1,question,RP,12
1,2,question,gap,12
1,4,declarative,RP,12
1,5,declarative,gap,12
1,3,question,gap,13
4,4,declarative,control,13
5,1,question,control,13
1,2,question,RP,13
1,5,declarative,RP,13
1,1,declarative,gap,14
1,3,question,RP,14
1,4,question,gap,14
2,5,declarative,control,14
2,2,question,control,14
1,5,question,gap,15
2,3,question,control,15
1,2,declarative,gap,15
1,1,declarative,RP,15
2,4,question,RP,15
2,2,delcarative,RP,16
2,5,question,RP,16
4,3,declarative,gap,16
6,1,declarative,control,16
6,4,question,control,16
